date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,ResearchAndDevelopmentExpenses,GeneralAndAdministrativeExpenses,SellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,EBITDA,EBITDARatio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,EPS,EPSDiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink
2021-10-31,REVG,USD,0001687221,2021-12-15,2021-12-15,2021,FY,2380000000.0,2089000000.0,291000000.0,0.122268907563025,4000000.0,0.0,0.0,14000000.0,207000000.0,2296000000.0,17000000.0,32000000.0,104000000.0,0.0436974789915966,83000000.0,0.0348739495798319,28000000.0,55000000.0,0.023109243697479,11000000.0,44000000.0,0.0184873949579832,0.700000009545455,0.690000010193182,64125216.0,65918089.0,https://www.sec.gov/Archives/edgar/data/1687221/000156459021060365/0001564590-21-060365-index.htm,https://www.sec.gov/Archives/edgar/data/1687221/000156459021060365/revg-10k_20211031.htm
2021-10-31,ANL.DE,USD,,2021-10-31,2021-10-31,2021,FY,7318286000.0,2793274000.0,4525012000.0,0.618315818758655,1296126000.0,0.0,0.0,536811000.0,2748355000.0,5541629000.0,184825000.0,1074634000.0,2588173000.0,0.353658356615197,1776657000.0,0.181560819022378,447943000.0,1328714000.0,0.181560819022378,-61708000.0,1390422000.0,0.189992848052126,0.0,0.0,0.0,0.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0
2021-10-31,BNS.TO,CAD,,2021-10-31,2021-10-31,2021,FY,30258000000.0,0.0,0.0,0.0,0.0,8541000000.0,404000000.0,0.0,0.0,0.0,8025000000.0,1511000000.0,22031000000.0,0.728104963976469,0.0,0.0,0.0,12826000000.0,0.42388789741556,2871000000.0,9624000000.0,0.318064644061075,0.0,0.0,0.0,0.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=The Bank of Nova Scotia&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=The Bank of Nova Scotia&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-10-31,CIE1.DE,USD,,2021-10-31,2021-10-31,2021,FY,3620684000.0,1898705000.0,1721979000.0,0.475594942834006,536666000.0,181874000.0,452214000.0,23732000.0,1194486000.0,3093191000.0,32605000.0,132266000.0,627622000.0,0.173343489793641,527493000.0,0.127807618670947,64742000.0,462751000.0,0.127807618670947,-37445000.0,500196000.0,0.13814958720507,0.0,0.0,0.0,0.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0
2021-10-31,DCO.DE,USD,,2021-10-31,2021-10-31,2021,FY,44024000000.0,30109000000.0,13915000000.0,0.316077594039615,1587000000.0,0.0,0.0,1343000000.0,6313000000.0,36422000000.0,0.0,2050000000.0,9671000000.0,0.219675631473742,7602000000.0,0.172678538978739,0.0,7602000000.0,0.172678538978739,1658000000.0,5963000000.0,0.135448846083954,0.0,0.0,0.0,0.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0
2021-10-31,KEYS,USD,0001601046,2021-10-31,2021-10-31,2021,FY,4941000000.0,1872000000.0,3069000000.0,0.621129326047359,811000000.0,0.0,0.0,0.0,2006000000.0,3861000000.0,-79000000.0,117000000.0,1048000000.0,0.212102813195709,1080000000.0,0.218579234972678,70000000.0,1010000000.0,0.20441206233556,116000000.0,894000000.0,0.18093503339405,4.85869565217391,4.80645161290323,184000000.0,186000000.0,,
2021-10-31,HRL,USD,0000048465,2021-12-10,2021-12-10 15:26:08,2021,FY,11386189000.0,9458283000.0,1927906000.0,0.16931969072356,0.0,0.0,0.0,0.0,853071000.0,10311354000.0,46878000.0,183772000.0,1356820000.0,0.11916366397923,1122599000.0,0.0985930410956642,-3571000.0,1126170000.0,0.0989066666643246,217029000.0,909141000.0,0.0798459431860827,1.67816836672537,1.65879847903195,541746000.0,548072000.0,https://www.sec.gov/Archives/edgar/data/48465/000004846521000067/0000048465-21-000067-index.htm,https://www.sec.gov/Archives/edgar/data/48465/000004846521000067/hrl-20211031.htm
2021-10-31,CWB.TO,CAD,,2021-10-31,2021-10-31,2021,FY,1016033000.0,0.0,0.0,0.0,0.0,330824000.0,10339000.0,0.0,0.0,0.0,425649000.0,58297000.0,963916000.0,0.948705406222042,0.0,0.0,0.0,480260000.0,0.472681497549784,123007000.0,356963000.0,0.351330124119984,0.0,0.0,0.0,0.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Canadian Western Bank&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Canadian Western Bank&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
2021-10-31,DE,USD,0000315189,2021-10-31,2021-10-31,2021,FY,44024000000.0,30109000000.0,13915000000.0,0.316077594039615,1587000000.0,0.0,0.0,1343000000.0,6313000000.0,36422000000.0,0.0,2050000000.0,9671000000.0,0.219675631473742,7602000000.0,0.172678538978739,0.0,7602000000.0,0.172678538978739,1658000000.0,5963000000.0,0.135448846083954,0.0,0.0,0.0,0.0,,
2021-10-31,NA.TO,CAD,,2021-10-31,2021-10-31,2021,FY,8904000000.0,0.0,0.0,0.0,0.0,3027000000.0,0.0,0.0,0.0,0.0,2204000000.0,481000000.0,6757000000.0,0.758872416891285,0.0,0.0,0.0,4072000000.0,0.457322551662174,895000000.0,3177000000.0,0.356805929919137,9.06,8.96,337212000.0,340861000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=National Bank of Canada&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=National Bank of Canada&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer
